Item Name,Item ID,Token Cost,Token Type,Sell Price,Gil per Token
Afterglow Orchestrion Roll,25062,200,White Craft,11708,58.54
Carbon Fiber,5339,25,White Craft,2522,100.88
Command IX,33927,250,White Craft,10494,41.98
Command VII,25196,200,White Craft,1045,5.22
Command VIII,26737,250,White Craft,176,0.7
Command X,33940,500,Purple Craft,15743,31.49
Competence IX,33925,250,White Craft,2835,11.34
Competence VII,25194,200,White Craft,1007,5.04
Competence VIII,26735,250,White Craft,467,1.87
Competence X,33938,500,Purple Craft,4195,8.39
Crafter's Delineation,28724,15,White Craft,315,21
Cunning IX,33926,250,White Craft,4194,16.78
Cunning Materia V,5708,200,White Craft,7370,36.85
Cunning VII,25195,200,White Craft,7202,36.01
Cunning VIII,26736,250,White Craft,819,3.28
Cunning X,33939,500,Purple Craft,998,2
Fabric Rack,24520,50,White Craft,523,10.46
Fieldcraft Demimateria III,8150,200,White Craft,2100,10.5
Gripgel,39595,500,White Craft,8713,17.43
Harmony Orchestrion Roll,25066,200,White Craft,12600,63
Immutable Solution,37284,125,Purple Craft,3500,28
Kingcraft Demimateria,23181,25,White Craft,2414,96.56
Mastercraft Demimateria,8155,800,White Craft,26250,32.81
Oddly Specific Cotton,29666,25,White Craft,1,0.04
Oddly Specific Iron Ore,29663,25,White Craft,6300,252
Oddly Specific Iron Sand,29662,25,White Craft,2100,84
Oddly Specific Petrified Log,29661,25,White Craft,5250,210
Oddly Specific Quartz,29667,25,White Craft,3150,126
Oddly Specific Seeds,29668,25,White Craft,2450,98
Oddly Specific Skin,29665,25,White Craft,4200,168
Oddly Specific Uncut Gemstone,29664,25,White Craft,3149,125.96
On High Orchestrion Roll,21281,200,White Craft,18374,91.87
Pastry Cupboard,24518,50,White Craft,5145,102.9
Potion Rack,24521,50,White Craft,18929,378.58
Raziqcoat,12932,50,White Craft,124,2.48
Slithersand,31320,250,White Craft,5774,23.1
