Item Name,Item ID,Token Cost,Token Type,Sell Price,Gil per Token
Earthbreak Aethersand,38936,300,Purple Gather,0,0
Endstone Aethersand,36224,200,Purple Gather,1440,7.2
Endtide Aethersand,36226,200,Purple Gather,3148,15.74
Endwood Aethersand,36225,200,Purple Gather,895,4.47
Grasp X,33937,500,Purple Gather,3779,7.55
Guerdon X,33935,500,Purple Gather,26250,52.5
Guile X,33936,500,Purple Gather,12600,25.2
Mackerel Strip,36593,5,Purple Gather,972,194.4
Mayfly,36591,5,Purple Gather,839,167.8
Moonlight Aethersand,36223,100,Purple Gather,1026,10.26
Stardust,36597,5,Purple Gather,970,194
Carpet of Flowers,27298,75,White Gather,0,0
Chimera Worm,36595,5,White Gather,252,50.4
Cloud Mythril Ore,17570,20,White Gather,0,0
Extra Large Angler's Canvas,28934,600,White Gather,0,0
Fishing Rod Rack,40648,800,White Gather,0,0
Freedom Orchestrion Roll,33849,200,White Gather,0,0
Fruit Stall,24516,50,White Gather,0,0
Garden Gravel,23898,75,White Gather,0,0
Grasp IX,33924,250,White Gather,5248,20.99
Grasp VII,25193,200,White Gather,167,0.83
Grasp VIII,26734,250,White Gather,288,1.15
Guerdon IX,33922,250,White Gather,7350,29.4
Guerdon VII,25191,200,White Gather,2835,14.17
Guerdon VIII,26732,250,White Gather,3728,14.91
Guile IX,33923,250,White Gather,6400,25.6
Guile VII,25192,200,White Gather,6000,30
Guile VIII,26733,250,White Gather,288,1.15
Hope Forgotten Orchestrion Roll,25063,200,White Gather,0,0
Large Angler's Canvas,28933,375,White Gather,0,0
Major-General Cushion,32220,200,White Gather,0,0
Medium Angler's Canvas,28932,225,White Gather,0,0
Mineral Display,24519,50,White Gather,0,0
Old Wounds Orchestrion Roll,25065,200,White Gather,0,0
Small Angler's Canvas,28931,150,White Gather,0,0
Songs of Salt and Suffering Orchestrion Roll,21282,200,White Gather,0,0
Sphalerite,13750,10,White Gather,0,0
Stormcloud Cotton Boll,17571,20,White Gather,0,0
The Stone Remembers Orchestrion Roll,25064,200,White Gather,0,0
Vegetable Stall,24517,50,White Gather,0,0
