Item Name,Item ID,Token Cost,Token Type,Sell Price,Gil per Token
Adamantite Francesca,13589,5000,GC Seals,,0
Animal Fat,5531,200,GC Seals,,0
Aqueous Whetstone,5261,200,GC Seals,,0
Arachne Web,9367,2250,GC Seals,,0
Black Cinnabar,10118,600,GC Seals,,0
Borax,9366,250,GC Seals,,0
Camel Hair,10117,600,GC Seals,,0
Canard Breast,7605,30,GC Seals,,0
Cashmere Fleece,7600,1500,GC Seals,,0
Clear Fluorite,10115,600,GC Seals,,0
Coke,5530,200,GC Seals,,0
Composite Whetstone,10113,600,GC Seals,,0
Cooking Sherry,6151,20,GC Seals,,0
Cordial,6141,500,GC Seals,,0
Dalamud Popoto,7603,30,GC Seals,,0
Dewdrops & Moonbeams Orchestrion Roll,38644,40000,GC Seals,,0
Dispelling Arrow,13593,5000,GC Seals,,0
Dubbin,9370,2250,GC Seals,,0
Duck Bones,10119,600,GC Seals,,0
Emery,7601,1500,GC Seals,,0
Fiiltered Water,6153,20,GC Seals,,0
Glamour Dispeller,7621,200,GC Seals,,0
Glamour Prism,21800,200,GC Seals,,0
Glass Fiber,15649,7000,GC Seals,,0
Hardened Sap,5532,200,GC Seals,,0
Heat-resistant Plaster,10114,600,GC Seals,,0
Into the Adder's Den Orchestrion Roll,38641,40000,GC Seals,,0
Kingcake,13595,5000,GC Seals,,0
Lampblack Linseed Oil,10116,600,GC Seals,,0
Lime Sulphur,5502,200,GC Seals,,0
Minium,5274,200,GC Seals,,0
Peacock Ore,5119,200,GC Seals,,0
Petrified Log,7596,1500,GC Seals,,0
Potash,5501,200,GC Seals,,0
Pudding Flesh,5558,200,GC Seals,,0
Quick-hardening Sealant,9356,2300,GC Seals,,0
Raziqsand,7598,1500,GC Seals,,0
Raziqsap,9369,250,GC Seals,,0
Roasted Coffee Beans,9372,250,GC Seals,,0
Royal Kukuru Bean,7604,30,GC Seals,,0
Saurian Skin,7599,1500,GC Seals,,0
Scheelite,7597,1500,GC Seals,,0
Smoked Bacon,9371,250,GC Seals,,0
Spiritbond Potion,7059,1500,GC Seals,,0
Star Anise,7602,30,GC Seals,,0
Tawny Latex,7806,450,GC Seals,,0
Titanium Alloy Mirror,13591,5000,GC Seals,,0
Urushi,10112,600,GC Seals,,0
Voidsent Blood,6154,20,GC Seals,,0
Wootz Ore,9368,2250,GC Seals,,0
Xelphatol Spring Water,9357,2500,GC Seals,,0
