Item Name,Item ID,Token Cost,Token Type,Sell Price,Gil Per Token
Canary Yellow Dye,30118,500,Seafarer's,10500,21
Cherry Pink Dye,30117,500,Seafarer's,13650,27.3
Chocobo Stable Essentials,38628,1000,Seafarer's,19949,19.95
Chocobo Stable Essentials,38628,2500,Islander's,19949,7.98
Cieldalaes Planter,40627,1000,Seafarer's,47240,47.24
Coconut Water,38589,1000,Seafarer's,12600,12.6
Coconut Water,38589,2500,Islander's,12600,5.04
Colorful Flower Patch,39428,1000,Seafarer's,20895,20.89
Colorful Flower Patch,39428,2500,Islander's,20895,8.36
Command IX,33927,750,Seafarer's,6423,8.56
Command IX,33927,1750,Islander's,6423,3.67
Command X,33940,1500,Seafarer's,11025,7.35
Command X,33940,3500,Islander's,11025,3.15
Competence IX,33925,750,Seafarer's,3118,4.16
Competence IX,33925,1750,Islander's,3118,1.78
Competence X,33938,1500,Seafarer's,4740,3.16
Competence X,33938,3500,Islander's,4740,1.35
Cunning IX,33926,750,Seafarer's,5770,7.69
Cunning IX,33926,1750,Islander's,5770,3.3
Cunning X,33939,1500,Seafarer's,945,0.63
Cunning X,33939,3500,Islander's,945,0.27
Dragoon Blue Dye,30120,1000,Seafarer's,15748,15.75
Farmer's Straw Bed,38610,1000,Seafarer's,28445,28.45
Farmer's Straw Bed,38610,2500,Islander's,28445,11.38
Garden Creek,40675,1000,Seafarer's,28349,28.35
Grasp IX,33924,750,Seafarer's,8399,11.2
Grasp IX,33924,1750,Islander's,8399,4.8
Grasp X,33937,1500,Seafarer's,840,0.56
Grasp X,33937,3500,Islander's,840,0.24
Guerdon IX,33922,750,Seafarer's,5145,6.86
Guerdon IX,33922,1750,Islander's,5145,2.94
Guerdon X,33935,1500,Seafarer's,8609,5.74
Guerdon X,33935,3500,Islander's,8609,2.46
Guile IX,33923,750,Seafarer's,9345,12.46
Guile IX,33923,1750,Islander's,9345,5.34
Guile X,33936,1500,Seafarer's,5249,3.5
Guile X,33936,3500,Islander's,5249,1.5
Gunmetal Black Dye,30122,2500,Seafarer's,21000,8.4
Island Garden Fence,40671,1000,Seafarer's,31500,31.5
Island Parasol Table,40672,1000,Seafarer's,22042,22.04
Island Wooden Chair,40673,1000,Seafarer's,16800,16.8
Lemonade Stand,39425,1000,Seafarer's,31121,31.12
Lemonade Stand,39425,2500,Islander's,31121,12.45
Low Garden Hedge,39419,1000,Seafarer's,26249,26.25
Low Garden Hedge,39419,2500,Islander's,26249,10.5
Metallic Brass Dye,30124,2500,Seafarer's,26250,10.5
Mushroom Medley Lamp,40676,1000,Seafarer's,11550,11.55
Pearl White Dye,30123,2500,Seafarer's,29390,11.76
Ruby Red Dye,30116,500,Seafarer's,15750,31.5
Stone Garden Wall,39427,1000,Seafarer's,12600,12.6
Stone Garden Wall,39427,2500,Islander's,12600,5.04
Turquoise Blue Dye,30121,500,Seafarer's,15750,31.5
Vanilla Yellow Dye,30119,1500,Seafarer's,7350,4.9
