Item Name,Item ID,Token Cost,Token Type,Sell Price,Gil Per Token
Afterglow Orchestrion Roll,25062,200.0,White Craft,11708,58.54
Carbon Fiber,5339,25.0,White Craft,2288,91.52
Command IX,33927,250.0,White Craft,12052,48.21
Command VII,25196,200.0,White Craft,1003,5.01
Command VIII,26737,250.0,White Craft,898,3.59
Command X,33940,500.0,Purple Craft,14241,28.48
Competence IX,33925,250.0,White Craft,2442,9.77
Competence VII,25194,200.0,White Craft,1006,5.03
Competence VIII,26735,250.0,White Craft,1226,4.90
Competence X,33938,500.0,Purple Craft,5246,10.49
Crafter's Delineation,28724,15.0,White Craft,263,17.53
Cunning IX,33926,250.0,White Craft,4720,18.88
Cunning Materia V,5708,200.0,White Craft,7768,38.84
Cunning VII,25195,200.0,White Craft,7243,36.22
Cunning VIII,26736,250.0,White Craft,733,2.93
Cunning X,33939,500.0,Purple Craft,1024,2.05
Fabric Rack,24520,50.0,White Craft,523,10.46
Fieldcraft Demimateria III,8150,200.0,White Craft,1167,5.83
Gripgel,39595,500.0,White Craft,7863,15.73
Harmony Orchestrion Roll,25066,200.0,White Craft,12600,63.00
Immutable Solution,37284,125.0,Purple Craft,3990,31.92
Kingcraft Demimateria,23181,25.0,White Craft,2100,84.00
Mastercraft Demimateria,8155,800.0,White Craft,26250,32.81
Oddly Specific Cotton,29666,25.0,White Craft,1,0.04
Oddly Specific Iron Ore,29663,25.0,White Craft,6300,252.00
Oddly Specific Iron Sand,29662,25.0,White Craft,2100,84.00
Oddly Specific Petrified Log,29661,25.0,White Craft,5250,210.00
Oddly Specific Quartz,29667,25.0,White Craft,3150,126.00
Oddly Specific Seeds,29668,25.0,White Craft,2450,98.00
Oddly Specific Skin,29665,25.0,White Craft,4200,168.00
Oddly Specific Uncut Gemstone,29664,25.0,White Craft,3149,125.96
On High Orchestrion Roll,21281,200.0,White Craft,18374,91.87
Pastry Cupboard,24518,50.0,White Craft,5145,102.90
Potion Rack,24521,50.0,White Craft,18931,378.62
Raziqcoat,12932,50.0,White Craft,121,2.42
Slithersand,31320,250.0,White Craft,5883,23.53
