Item Name,Item ID,Token Cost,Token Type,Sell Price,Gil Per Token
Earthbreak Aethersand,38936,300,Purple Gather,3150,10.50
Endstone Aethersand,36224,200,Purple Gather,32,0.16
Endtide Aethersand,36226,200,Purple Gather,138,0.69
Endwood Aethersand,36225,200,Purple Gather,26,0.13
Grasp X,33937,500,Purple Gather,839,1.68
Guerdon X,33935,500,Purple Gather,7874,15.75
Guile X,33936,500,Purple Gather,5688,11.38
Mackerel Strip,36593,5,Purple Gather,410,82.00
Mayfly,36591,5,Purple Gather,730,146.00
Moonlight Aethersand,36223,100,Purple Gather,130,1.30
Stardust,36597,5,Purple Gather,646,129.20
Carpet of Flowers,27298,75,White Gather,10500,140.00
Chimera Worm,36595,5,White Gather,105000,21000.00
Cloud Mythril Ore,17570,20,White Gather,1,0.05
Extra Large Angler's Canvas,28934,600,White Gather,11708,19.51
Fishing Rod Rack,40648,800,White Gather,38818,48.52
Freedom Orchestrion Roll,33849,200,White Gather,42998,214.99
Fruit Stall,24516,50,White Gather,15749,314.98
Garden Gravel,23898,75,White Gather,12495,166.60
Grasp IX,33924,250,White Gather,15224,60.90
Grasp VII,25193,200,White Gather,7344,36.72
Grasp VIII,26734,250,White Gather,294,1.18
Guerdon IX,33922,250,White Gather,6508,26.03
Guerdon VII,25191,200,White Gather,4725,23.62
Guerdon VIII,26732,250,White Gather,2099,8.40
Guile IX,33923,250,White Gather,9659,38.64
Guile VII,25192,200,White Gather,1460,7.30
Guile VIII,26733,250,White Gather,470,1.88
Hope Forgotten Orchestrion Roll,25063,200,White Gather,10448,52.24
Large Angler's Canvas,28933,375,White Gather,15745,41.99
Major-General Cushion,32220,200,White Gather,15747,78.73
Medium Angler's Canvas,28932,225,White Gather,21818,96.97
Mineral Display,24519,50,White Gather,47250,945.00
Old Wounds Orchestrion Roll,25065,200,White Gather,14700,73.50
Small Angler's Canvas,28931,150,White Gather,26109,174.06
Songs of Salt and Suffering Orchestrion Roll,21282,200,White Gather,52448,262.24
Sphalerite,13750,10,White Gather,1260,126.00
Stormcloud Cotton Boll,17571,20,White Gather,4199,209.95
The Stone Remembers Orchestrion Roll,25064,200,White Gather,10657,53.28
Vegetable Stall,24517,50,White Gather,5249,104.98
