Item Name,Item ID,Token Cost,Token Type,Sell Price,Gil Per Token
Adamantite Francesca,13589,5000.0,GC Seals,4200,0.84
Animal Fat,5531,200.0,GC Seals,1785,8.93
Aqueous Whetstone,5261,200.0,GC Seals,509,2.54
Arachne Web,9367,2250.0,GC Seals,10499,4.67
Black Cinnabar,10118,600.0,GC Seals,1,0.00
Borax,9366,250.0,GC Seals,356,1.42
Camel Hair,10117,600.0,GC Seals,1,0.00
Canard Breast,7605,30.0,GC Seals,32,1.07
Cashmere Fleece,7600,1500.0,GC Seals,943,0.63
Clear Fluorite,10115,600.0,GC Seals,1,0.00
Coke,5530,200.0,GC Seals,318,1.59
Composite Whetstone,10113,600.0,GC Seals,1,0.00
Cooking Sherry,6151,20.0,GC Seals,27,1.35
Cordial,6141,500.0,GC Seals,466,0.93
Dalamud Popoto,7603,30.0,GC Seals,105,3.50
Dewdrops & Moonbeams Orchestrion Roll,38644,40000.0,GC Seals,156450,3.91
Dispelling Arrow,13593,5000.0,GC Seals,7084,1.42
Dubbin,9370,2250.0,GC Seals,2394,1.06
Duck Bones,10119,600.0,GC Seals,1,0.00
Emery,7601,1500.0,GC Seals,1664,1.11
Fiiltered Water,6153,20.0,GC Seals,389,19.45
Glamour Dispeller,7621,200.0,GC Seals,288,1.44
Glamour Prism,21800,200.0,GC Seals,252,1.26
Glass Fiber,15649,7000.0,GC Seals,4305,0.61
Hardened Sap,5532,200.0,GC Seals,315,1.57
Heat-resistant Plaster,10114,600.0,GC Seals,1,0.00
Into the Adder's Den Orchestrion Roll,38641,40000.0,GC Seals,157499,3.94
Kingcake,13595,5000.0,GC Seals,5772,1.15
Lampblack Linseed Oil,10116,600.0,GC Seals,1,0.00
Lime Sulphur,5502,200.0,GC Seals,399,2.00
Minium,5274,200.0,GC Seals,335,1.68
Peacock Ore,5119,200.0,GC Seals,252,1.26
Petrified Log,7596,1500.0,GC Seals,2100,1.40
Potash,5501,200.0,GC Seals,296,1.48
Pudding Flesh,5558,200.0,GC Seals,930,4.65
Quick-hardening Sealant,9356,2300.0,GC Seals,1,0.00
Raziqsand,7598,1500.0,GC Seals,1149,0.77
Raziqsap,9369,250.0,GC Seals,515,2.06
Roasted Coffee Beans,9372,250.0,GC Seals,1048,4.19
Royal Kukuru Bean,7604,30.0,GC Seals,3,0.10
Saurian Skin,7599,1500.0,GC Seals,209,0.14
Scheelite,7597,1500.0,GC Seals,1570,1.05
Smoked Bacon,9371,250.0,GC Seals,525000,2100.00
Spiritbond Potion,7059,1500.0,GC Seals,42,0.03
Star Anise,7602,30.0,GC Seals,47,1.57
Tawny Latex,7806,450.0,GC Seals,656,1.46
Titanium Alloy Mirror,13591,5000.0,GC Seals,6194,1.24
Urushi,10112,600.0,GC Seals,1,0.00
Voidsent Blood,6154,20.0,GC Seals,89,4.45
Wootz Ore,9368,2250.0,GC Seals,730,0.32
Xelphatol Spring Water,9357,2500.0,GC Seals,1,0.00
