Item Name,Item ID,Token Cost,Token Type,Sell Price,Gil Per Token
Canary Yellow Dye,30118,500,Seafarer's,9450,18.90
Cherry Pink Dye,30117,500,Seafarer's,14490,28.98
Chocobo Stable Essentials,38628,1000,Seafarer's,15750,15.75
Chocobo Stable Essentials,38628,2500,Islander's,15750,6.30
Cieldalaes Planter,40627,1000,Seafarer's,40950,40.95
Coconut Water,38589,1000,Seafarer's,10553,10.55
Coconut Water,38589,2500,Islander's,10553,4.22
Colorful Flower Patch,39428,1000,Seafarer's,20895,20.89
Colorful Flower Patch,39428,2500,Islander's,20895,8.36
Command IX,33927,750,Seafarer's,10494,13.99
Command IX,33927,1750,Islander's,10494,6.00
Command X,33940,1500,Seafarer's,15743,10.50
Command X,33940,3500,Islander's,15743,4.50
Competence IX,33925,750,Seafarer's,2835,3.78
Competence IX,33925,1750,Islander's,2835,1.62
Competence X,33938,1500,Seafarer's,4195,2.80
Competence X,33938,3500,Islander's,4195,1.20
Cunning IX,33926,750,Seafarer's,4194,5.59
Cunning IX,33926,1750,Islander's,4194,2.40
Cunning X,33939,1500,Seafarer's,998,0.67
Cunning X,33939,3500,Islander's,998,0.29
Dragoon Blue Dye,30120,1000,Seafarer's,7875,7.88
Farmer's Straw Bed,38610,1000,Seafarer's,28445,28.45
Farmer's Straw Bed,38610,2500,Islander's,28445,11.38
Garden Creek,40675,1000,Seafarer's,27038,27.04
Grasp IX,33924,750,Seafarer's,15224,20.30
Grasp IX,33924,1750,Islander's,15224,8.70
Grasp X,33937,1500,Seafarer's,839,0.56
Grasp X,33937,3500,Islander's,839,0.24
Guerdon IX,33922,750,Seafarer's,6508,8.68
Guerdon IX,33922,1750,Islander's,6508,3.72
Guerdon X,33935,1500,Seafarer's,7874,5.25
Guerdon X,33935,3500,Islander's,7874,2.25
Guile IX,33923,750,Seafarer's,9659,12.88
Guile IX,33923,1750,Islander's,9659,5.52
Guile X,33936,1500,Seafarer's,5688,3.79
Guile X,33936,3500,Islander's,5688,1.63
Gunmetal Black Dye,30122,2500,Seafarer's,32844,13.14
Island Garden Fence,40671,1000,Seafarer's,29400,29.40
Island Parasol Table,40672,1000,Seafarer's,22038,22.04
Island Wooden Chair,40673,1000,Seafarer's,16800,16.80
Lemonade Stand,39425,1000,Seafarer's,31121,31.12
Lemonade Stand,39425,2500,Islander's,31121,12.45
Low Garden Hedge,39419,1000,Seafarer's,26249,26.25
Low Garden Hedge,39419,2500,Islander's,26249,10.50
Metallic Brass Dye,30124,2500,Seafarer's,29294,11.72
Mushroom Medley Lamp,40676,1000,Seafarer's,8400,8.40
Pearl White Dye,30123,2500,Seafarer's,30449,12.18
Ruby Red Dye,30116,500,Seafarer's,16274,32.55
Stone Garden Wall,39427,1000,Seafarer's,12600,12.60
Stone Garden Wall,39427,2500,Islander's,12600,5.04
Turquoise Blue Dye,30121,500,Seafarer's,11541,23.08
Vanilla Yellow Dye,30119,1500,Seafarer's,6825,4.55
