Item Name,Item ID,Token Cost,Token Type,Sell Price,Gil Per Token
Albino Karakul Horn,28125,8400.0,Skybuilders' Scrip,735000,87.50
Antelope Doe Horn,33674,8400.0,Skybuilders' Scrip,630000,75.00
Baby Brachiosaur,15441,800.0,Skybuilders' Scrip,9923,12.40
Big Shell Whistle,32841,8400.0,Skybuilders' Scrip,815849,97.12
Calming Checkered Parasol,31324,900.0,Skybuilders' Scrip,223650,248.50
Canary Yellow Dye,30118,100.0,Skybuilders' Scrip,9450,94.50
Cerberpup,28628,1200.0,Skybuilders' Scrip,236249,196.87
Cheerful Checkered Parasol,31325,1800.0,Skybuilders' Scrip,199498,110.83
Cherry Pink Dye,30117,100.0,Skybuilders' Scrip,13649,136.49
Command Materia VIII,25196,300.0,Skybuilders' Scrip,1003,3.34
Commnd Materia VII,26737,240.0,Skybuilders' Scrip,898,3.74
Competence Materia VII,25194,240.0,Skybuilders' Scrip,1006,4.19
Competence Materia VIII,26735,300.0,Skybuilders' Scrip,1226,4.09
Concealing Meals,32826,1800.0,Skybuilders' Scrip,325475,180.82
Controlled Chaos,30113,1800.0,Skybuilders' Scrip,391637,217.58
Craftsman's Apron,30052,2200.0,Skybuilders' Scrip,262477,119.31
Craftsman's Coverall Bottoms,28593,2000.0,Skybuilders' Scrip,252000,126.00
Craftsman's Coverall Top,28592,2200.0,Skybuilders' Scrip,273000,124.09
Craftsman's Leather Shoes,30054,1200.0,Skybuilders' Scrip,420000,350.00
Craftsman's Leather Trousers,30053,2000.0,Skybuilders' Scrip,1,0.00
Craftsman's Singlet,28594,2200.0,Skybuilders' Scrip,492396,223.82
Cunning Materia VII,25195,240.0,Skybuilders' Scrip,7243,30.18
Cunning Materia VIII,26736,300.0,Skybuilders' Scrip,733,2.44
Dragoon Blue Dye,30120,100.0,Skybuilders' Scrip,12495,124.95
Emphatic Elucidation,30112,1800.0,Skybuilders' Scrip,178498,99.17
Fealty Orchestrion Roll,30260,600.0,Skybuilders' Scrip,1,0.00
Freefall Orchestrion Roll,31674,600.0,Skybuilders' Scrip,405300,675.50
Grasp Materia VII,25193,240.0,Skybuilders' Scrip,7344,30.60
Grasp Materia VIII,26734,300.0,Skybuilders' Scrip,289,0.96
Guerdon Materia VII,25191,240.0,Skybuilders' Scrip,5249,21.87
Guerdon Materia VIII,26732,300.0,Skybuilders' Scrip,1751,5.84
Guile Materia VII,25192,240.0,Skybuilders' Scrip,1334,5.56
Guile Materia VIII,26733,300.0,Skybuilders' Scrip,483,1.61
Gunmetal Black Due,30122,500.0,Skybuilders' Scrip,31494,62.99
Hearthward Orchestrion Roll,33127,1200.0,Skybuilders' Scrip,210000,175.00
Hunting Hawk,13279,800.0,Skybuilders' Scrip,101500,126.88
Intelligent Impressions,30111,1800.0,Skybuilders' Scrip,283500,157.50
Jewel Orchestrion Roll,17626,600.0,Skybuilders' Scrip,525000,875.00
Machinist Barding,29403,1200.0,Skybuilders' Scrip,235173,195.98
Megalotragus Horn,30862,8400.0,Skybuilders' Scrip,472500,56.25
Metallic Brass Due,30124,500.0,Skybuilders' Scrip,41994,83.99
Miniature White Knight,28622,1200.0,Skybuilders' Scrip,157499,131.25
Modern Legend,28615,1800.0,Skybuilders' Scrip,525000,291.67
"Next, Godliness",32829,1800.0,Skybuilders' Scrip,316991,176.11
Oddly Delicate Gazelle Hide,31762,30.0,Skybuilders' Scrip,5237,174.57
Oddly Delicate Hammerhead Shark,31765,30.0,Skybuilders' Scrip,15750,525.00
Oddly Delicate Mistletoe,31764,30.0,Skybuilders' Scrip,1,0.03
Oddly Delicate Pine Log,31758,30.0,Skybuilders' Scrip,1,0.03
Oddly Delicate Raw Celestine,31761,30.0,Skybuilders' Scrip,1,0.03
Oddly Delicate Rhea,31763,30.0,Skybuilders' Scrip,4720,157.33
Oddly Delicate Scheelite,31760,30.0,Skybuilders' Scrip,1,0.03
Oddly Delicate Silvergrace Ore,31759,30.0,Skybuilders' Scrip,3181,106.03
Oddly Specific Aloe,31124,20.0,Skybuilders' Scrip,1,0.05
Oddly Specific Cedar Log,31117,20.0,Skybuilders' Scrip,6237,311.85
Oddly Specific Coerthan Iron Ore,31118,20.0,Skybuilders' Scrip,1,0.05
Oddly Specific Fleece,31122,20.0,Skybuilders' Scrip,5250,262.50
Oddly Specific Gagana Skin,31121,20.0,Skybuilders' Scrip,1,0.05
Oddly Specific Mythrite Sand,31119,20.0,Skybuilders' Scrip,4200,210.00
Oddly Specific Sap,31123,20.0,Skybuilders' Scrip,4199,209.95
Oddly Specific Silver Ore,31120,20.0,Skybuilders' Scrip,4200,210.00
Order Yet Undeciphered,30267,600.0,Skybuilders' Scrip,241500,402.50
Paissa Brat,13275,800.0,Skybuilders' Scrip,4200,5.25
Paradise Found Orchestrion Roll,30259,600.0,Skybuilders' Scrip,254258,423.76
Parasol,30269,1800.0,Skybuilders' Scrip,299246,166.25
Pastoral Dot Parasol,33039,1800.0,Skybuilders' Scrip,199499,110.83
Pearl White Dye,30123,500.0,Skybuilders' Scrip,51449,102.90
Ruby Red Dye,30116,100.0,Skybuilders' Scrip,15747,157.47
Safety in Numbers Orchestrion Roll,28893,1200.0,Skybuilders' Scrip,670950,559.12
Saintly Style,31406,1800.0,Skybuilders' Scrip,288645,160.36
Sky Blue Parasol,30270,900.0,Skybuilders' Scrip,209999,233.33
Skyrise Orchestrion Roll,33905,1200.0,Skybuilders' Scrip,524998,437.50
Skysteel Cloth,28908,200.0,Skybuilders' Scrip,31500,157.50
Skysteel Ingot,28906,200.0,Skybuilders' Scrip,19949,99.75
Skysteel Leather,28907,200.0,Skybuilders' Scrip,20995,104.97
Skyworker's Boots,32797,1200.0,Skybuilders' Scrip,186900,155.75
Skyworker's Bottoms,32796,2000.0,Skybuilders' Scrip,399000,199.50
Skyworker's Gloves,32795,1200.0,Skybuilders' Scrip,136490,113.74
Skyworker's Helmet,32793,1200.0,Skybuilders' Scrip,419996,350.00
Skyworker's Singlet,32794,2200.0,Skybuilders' Scrip,335890,152.68
Stone and Steel Orchestrion Roll,30261,600.0,Skybuilders' Scrip,125998,210.00
The Heavens' Ward Orchestrion Roll,31675,1200.0,Skybuilders' Scrip,1,0.00
The Mendicant's Relish Orchestrion Roll,30262,1200.0,Skybuilders' Scrip,1,0.00
Turquoise Blue Dye,30121,100.0,Skybuilders' Scrip,15645,156.45
Ufiti Horn,28917,8400.0,Skybuilders' Scrip,682499,81.25
Uncouth Congratulations,31401,1800.0,Skybuilders' Scrip,293994,163.33
Unworthy Orchestrion Roll,38647,1200.0,Skybuilders' Scrip,1573952,1311.63
Vanilla Yellow Dye,30119,100.0,Skybuilders' Scrip,6825,68.25
Well Bread,30110,900.0,Skybuilders' Scrip,257250,285.83
What is Love Orchestrion Roll,33847,1200.0,Skybuilders' Scrip,1,0.00
Winsome Wallflower,28612,1800.0,Skybuilders' Scrip,330750,183.75
